paper_id,venue,year,title,score,tier,matched_groups,abstract,evidence,penalties,pdf,url,has_abstract,source_file
neurips2025_papers:4597,NEURIPS,2025,Adversary Aware Optimization for Robust Defense,16,A-Core,adversarial_core;classification_context;input_transform_compression;vision_context,"Deep neural networks remain highly susceptible to adversarial attacks, where small, subtle perturbations to input images may induce misclassification. We propose a novel optimization-based purification framework that directly removes these perturbations by maximizing a Bayesian-inspired objective combining a pretrained diffusion prior with a likelihood term tailored to the adversarial perturbation space. Our method iteratively refines a given input through gradient-based updates of a combined score-based loss to guide the purification process. Unlike existing optimization-based defenses that treat adversarial noise as generic corruption, our approach explicitly integrates the adversarial landscape into the objective. Experiments performed on CIFAR-10 and CIFAR-100 demonstrate strong robust accuracy against a range of common adversarial attacks. Our work offers a principled test-time defense grounded in probabilistic inference using score-based generative models. Our code can be found at \url{ https://github.com/rooshenasgroup/aaopt }.","{""adversarial_core"": [""ense Deep neural networks remain highly susceptible to adversarial attacks, where small, subtle perturbations to input images may"", ""performed on CIFAR-10 and CIFAR-100 demonstrate strong robust accuracy against a range of common adversarial attacks. Our wor""], ""input_transform_compression"": [""hub.com/rooshenasgroup/aaopt }. Adversarial robustness Adversarial purification optimization Adversarial training""], ""vision_context"": [""al attacks, where small, subtle perturbations to input images may induce misclassification. We propose a novel optim"", ""landscape into the objective. Experiments performed on CIFAR-10 and CIFAR-100 demonstrate strong robust accuracy again""], ""classification_context"": [""landscape into the objective. Experiments performed on CIFAR-10 and CIFAR-100 demonstrate strong robust accuracy again"", ""performed on CIFAR-10 and CIFAR-100 demonstrate strong robust accuracy against a range of common adversarial attacks. Our wor""]}",{},https://openreview.net/pdf/a485b6c42a0b8012fbdced19e77994d5a49d3f29.pdf,https://openreview.net/forum?id=VNbvk5pMS7,True,neurips2025_papers.json
neurips2025_papers:855,NEURIPS,2025,Mitigating Sexual Content Generation via Embedding Distortion in Text-conditioned Diffusion Models,15,B-Method,adaptive_evaluation;adversarial_core;vision_context,"Diffusion models show remarkable image generation performance following text prompts, but risk generating sexual contents. Existing approaches, such as prompt filtering, concept removal, and even sexual contents mitigation methods, struggle to defend against adversarial attacks while maintaining benign image quality. In this paper, we propose a novel approach called Distorting Embedding Space (DES), a text encoder-based defense mechanism that effectively tackles these issues through innovative embedding space control. DES transforms unsafe embeddings, extracted from a text encoder using unsafe prompts, toward carefully calculated safe embedding regions to prevent unsafe contents generation, while reproducing the original safe embeddings. DES also neutralizes the ``nudity'' embedding, by aligning it with neutral embedding to enhance robustness against adversarial attacks. As a result, extensive experiments on explicit content mitigation and adaptive attack defense show that DES achieves state-of-the-art (SOTA) defense, with attack success rate (ASR) of 9.47\% on FLUX.1, a recent popular model, and 0.52\% on the widely adopted Stable Diffusion v1.5. These correspond to ASR reductions of 76.5\% and 63.9\% compared to previous SOTA methods, EraseAnything and AdvUnlearn, respectively. Furthermore, DES maintains benign image quality, achieving Frechet Inception Distance and CLIP score comparable to those of the original FLUX.1 and Stable Diffusion v1.5.","{""adversarial_core"": [""ontents mitigation methods, struggle to defend against adversarial attacks while maintaining benign image quality. In this paper,"", ""ding, by aligning it with neutral embedding to enhance robustness against adversarial attacks. As a result, extensive experiments on explici""], ""adaptive_evaluation"": [""tensive experiments on explicit content mitigation and adaptive attack defense show that DES achieves state-of-the-art (SOTA)""], ""vision_context"": [""oned Diffusion Models Diffusion models show remarkable image generation performance following text prompts, but ris""]}",{},https://openreview.net/pdf/e2c7ad9c72a34deff0caba0f116c7780d8e9ca1c.pdf,https://openreview.net/forum?id=0LUu5rd0GQ,True,neurips2025_papers.json
neurips2025_papers:5341,NEURIPS,2025,Model-Free Adversarial Purification via Coarse-To-Fine Tensor Network Representation,15,A-Core,adversarial_core;classification_context;input_transform_compression;vision_context,"Deep neural networks are known to be vulnerable to well-designed adversarial attacks. Although numerous defense strategies have been proposed, many are tailored to specific attacks or tasks and often fail to generalize across diverse scenarios. In this paper, we propose Tensor Network Purification (TNP), a novel model-free optimization-based purification framework built upon a specially designed tensor network decomposition algorithm. TNP depends neither on the pre-trained generative model nor the specific dataset, resulting in robust generalization across diverse adversarial scenarios. To this end, the key challenge lies in relaxing Gaussian-noise assumptions of classical decompositions and accommodating the unknown distribution of adversarial perturbations. Unlike the low-rank representation of classical decompositions, TNP aims to reconstruct the unobserved clean example from an adversarial example. Specifically, TNP leverages progressive downsampling and introduces a novel adversarial optimization objective to address the challenge of minimizing reconstruction error but without inadvertently restoring adversarial perturbations. Extensive experiments conducted on CIFAR-10, CIFAR-100, and ImageNet demonstrate that our method generalizes effectively across various norm threats, attack types, and tasks, providing a versatile and promising adversarial purification technique.","{""adversarial_core"": [""l networks are known to be vulnerable to well-designed adversarial attacks. Although numerous defense strategies have been propos""], ""input_transform_compression"": [""Model-Free Adversarial Purification via Coarse-To-Fine Tensor Network Representation Deep""], ""vision_context"": [""rial perturbations. Extensive experiments conducted on CIFAR-10, CIFAR-100, and ImageNet demonstrate that our method g"", ""sive experiments conducted on CIFAR-10, CIFAR-100, and ImageNet demonstrate that our method generalizes effectively ac""], ""classification_context"": [""rial perturbations. Extensive experiments conducted on CIFAR-10, CIFAR-100, and ImageNet demonstrate that our method g"", ""sive experiments conducted on CIFAR-10, CIFAR-100, and ImageNet demonstrate that our method generalizes effectively ac""]}",{},https://openreview.net/pdf/9a8e1949830e4f8d89080bd9744b27fdf488cd0f.pdf,https://openreview.net/forum?id=IaOhbdu2Ov,True,neurips2025_papers.json
neurips2025_papers:4105,NEURIPS,2025,Non-Adaptive Adversarial Face Generation,14,B-Method,adaptive_evaluation;adversarial_core;vision_context,"Adversarial attacks on face recognition systems (FRSs) pose serious security and privacy threats, especially when these systems are used for identity verification. In this paper, we propose a novel method for generating adversarial faces—synthetic facial images that are visually distinct yet recognized as a target identity by the FRS. Unlike iterative optimization-based approaches (e.g., gradient descent or other iterative solvers), our method leverages the structural characteristics of the FRS feature space. We figure out that individuals sharing the same attribute (e.g., gender or race) form an attributed subsphere. By utilizing such subspheres, our method achieves both non-adaptiveness and a remarkably small number of queries. This eliminates the need for relying on transferability and open-source surrogate models, which have been a typical strategy when repeated adaptive queries to commercial FRSs are impossible. Despite requiring only a single non-adaptive query consisting of 100 face images, our method achieves a high success rate of over 93% against AWS’s CompareFaces API at its default threshold. Furthermore, unlike many existing attacks that perturb a given image, our method can deliberately produce adversarial faces that impersonate the target identity while exhibiting high-level attributes chosen by the adversary.","{""adversarial_core"": [""Non-Adaptive Adversarial Face Generation Adversarial attacks on face recognition systems (FRSs) pose serious securi""], ""adaptive_evaluation"": [""the adversary. adversarial attack face recognition non-adaptive attack""], ""vision_context"": [""thod for generating adversarial faces—synthetic facial images that are visually distinct yet recognized as a target""]}",{},https://openreview.net/pdf/faf5d1e4cb9b5f92713228417573880ee8afdca6.pdf,https://openreview.net/forum?id=VHWmDTYI2O,True,neurips2025_papers.json
neurips2025_papers:3940,NEURIPS,2025,OSTAR: Optimized Statistical Text-classifier with Adversarial Resistance,13,B-Method,adaptive_evaluation;adversarial_core,"The advancements in generative models and the real-world attack of machine-generated text(MGT) create a demand for more robust detection methods. The existing MGT detection methods for adversarial environments primarily consist of manually designed statistical-based methods and fine-tuned classifier-based approaches. Statistical-based methods extract intrinsic features but suffer from rigid decision boundaries vulnerable to adaptive attacks, while fine-tuned classifiers achieve outstanding performance at the cost of overfitting to superficial textual feature. We argue that the key to detection in current adversarial environments lies in how to extract intrinsic invariant features and ensure that the classifier possesses dynamic adaptability. In that case, we propose OSTAR, a novel MGT detection framework designed for adversarial environments which composed of a statistical enhanced classifier and a Multi-Faceted Contrastive Learning(MFCL). In the classifier aspect, our Multi-Dimensional Statistical Profiling (MDSP) module extracts intrinsic difference between human and machine texts, complementing classifiers with useful stable features. In the model optimization aspect, the MFCL strategy enhances robustness by contrasting feature variations before and after text attacks, jointly optimizing statistical feature mapping and baseline pre-trained models. Experimental results on three public datasets under various adversarial scenarios demonstrate that our framework outperforms existing MGT detection methods, achieving state-of-the-art performance and robust against attacks.The code is available at https://github.com/BUPT-SN/OSTAR.","{""adversarial_core"": [""ble at https://github.com/BUPT-SN/OSTAR. MGT detection、Adversarial Robustness、Contrastive Learning""], ""adaptive_evaluation"": [""ut suffer from rigid decision boundaries vulnerable to adaptive attacks, while fine-tuned classifiers achieve outstanding perf""]}",{},https://openreview.net/pdf/2a81288eb6661596b78a5372282f0b1dbf92e5a4.pdf,https://openreview.net/forum?id=nUFGbRWl5W,True,neurips2025_papers.json
neurips2025_papers:5477,NEURIPS,2025,MAE-Pure: Semantic-Preserving Adversarial Purification,12,A-Core,adversarial_core;input_transform_compression;vision_context,"Adversarial purification is a category of defense techniques that use a generative model to eliminate adversarial perturbations. In pursuit of high performance in the cleansing of adversarial examples, current methods prefer powerful generative models (typically a diffusion model). This study investigates the purification from a novel perspective of preserving semantic relationships among image patches. Our method leverages Mask Autoencoder (MAE), which yields superior performance. Specifically, from both theoretical and experimental analysis, we disclose that the reconstruction performance of MAE is highly susceptible to adversarial noise, since the semantic relationships among patches will change significantly. Based on this intriguing property, we propose a purification scheme, named MAE-Pure, which purifies noises by preserving patch semantic relationships. We prove that this mechanism can be transformed into one tractable optimization problem with respect to the input image. Furthermore, we build a robust MAE-Pure by finetuning the purification model by introducing classification loss to further certify the patch semantic relationships. Additionally, we adapt our insight on mask diffusion model which embodies powerful generative capability to reinforce our method. A series of experiments demonstrate the superiority of our method, achieving new state-of-the-art results.","{""adversarial_core"": [""se techniques that use a generative model to eliminate adversarial perturbations. In pursuit of high performance in the cleansing of ad""], ""input_transform_compression"": [""MAE-Pure: Semantic-Preserving Adversarial Purification Adversarial purification is a category of defense tech""], ""vision_context"": [""perspective of preserving semantic relationships among image patches. Our method leverages Mask Autoencoder (MAE),""]}",{},https://openreview.net/pdf/7aa7248421a8dde2a616af49c85af3234e55b7dc.pdf,https://openreview.net/forum?id=8mFVIRTr7I,True,neurips2025_papers.json
neurips2025_papers:4980,NEURIPS,2025,Consensus-Robust Transfer Attacks via Parameter and Representation Perturbations,11,C-Foundation,adversarial_core;classification_context;vision_context,"Adversarial examples crafted on one model often exhibit poor transferability to others, hindering their effectiveness in black-box settings. This limitation arises from two key factors: (i) \emph{decision-boundary variation} across models and (ii) \emph{representation drift} in feature space. We address these challenges through a new perspective that frames transferability for \emph{untargeted attacks} as a \emph{consensus-robust optimization} problem: adversarial perturbations should remain effective across a neighborhood of plausible target models. To model this uncertainty, we introduce two complementary perturbation channels: a \emph{parameter channel}, capturing boundary shifts via weight perturbations, and a \emph{representation channel}, addressing feature drift via stochastic blending of clean and adversarial activations. We then propose \emph{CORTA} (COnsensus--Robust Transfer Attack), a lightweight attack instantiated from this robust formulation using two first-order strategies: (i) sensitivity regularization based on the squared Frobenius norm of logits’ Jacobian with respect to weights, and (ii) Monte Carlo sampling for blended feature representations. Our theoretical analysis provides a certified lower bound linking these approximations to the robust objective. Extensive experiments on CIFAR-100 and ImageNet show that CORTA significantly outperforms state-of-the-art transfer-based methods---including ensemble approaches---across CNN and Vision Transformer targets. Notably, CORTA achieves a \emph{19.1 percentage-point gain in transfer success rate over the best prior method} while using only a single surrogate model.","{""adversarial_core"": [""Attacks via Parameter and Representation Perturbations Adversarial examples crafted on one model often exhibit poor transferabilit""], ""vision_context"": [""thods---including ensemble approaches---across CNN and Vision Transformer targets. Notably, CORTA achieves a \\emph{1"", ""ions to the robust objective. Extensive experiments on CIFAR-100 and ImageNet show that CORTA significantly outperforms"", ""bust objective. Extensive experiments on CIFAR-100 and ImageNet show that CORTA significantly outperforms state-of-the""], ""classification_context"": [""based methods---including ensemble approaches---across CNN and Vision Transformer targets. Notably, CORTA achieve"", ""ions to the robust objective. Extensive experiments on CIFAR-100 and ImageNet show that CORTA significantly outperforms"", ""bust objective. Extensive experiments on CIFAR-100 and ImageNet show that CORTA significantly outperforms state-of-the""]}",{},https://openreview.net/pdf/ce358373fc8c2b3e8f92517157365bfbe90225f0.pdf,https://openreview.net/forum?id=NCzNOKjKnD,True,neurips2025_papers.json
neurips2025_papers:5048,NEURIPS,2025,DiffBreak: Is Diffusion-Based Purification Robust?,11,B-Method,adversarial_core;input_transform_compression,"Diffusion-based purification (DBP) has become a cornerstone defense against adversarial examples (AEs), regarded as robust due to its use of diffusion models (DMs) that project AEs onto the natural data manifold. We refute this core claim, theoretically proving that gradient-based attacks effectively target the DM rather than the classifier, causing DBP's outputs to align with adversarial distributions. This prompts a reassessment of DBP's robustness, accrediting it two critical factors: inaccurate gradients and improper evaluation protocols that test only a single random purification of the AE. We show that when accounting for stochasticity and resubmission risk, DBP collapses. To support this, we introduce DiffBreak, the first reliable toolkit for differentiation through DBP, eliminating gradient mismatches that previously further inflated robustness estimates. We also analyze the current defense scheme used for DBP where classification relies on a single purification, pinpointing its inherent invalidity. We provide a statistically grounded majority-vote (MV) alternative that aggregates predictions across multiple purified copies, showing partial but meaningful robustness gain. We then propose a novel adaptation of an optimization method against deepfake watermarking, crafting systemic perturbations that defeat DBP even under MV, challenging DBP's viability.","{""adversarial_core"": [""ication (DBP) has become a cornerstone defense against adversarial examples (AEs), regarded as robust due to its use of diffusion""], ""input_transform_compression"": [""llenging DBP's viability. Adaptive Adversarial Attacks Adversarial Purification Diffusion Models""]}",{},https://openreview.net/pdf/65941ec073a7d6a98b9aa4a67a35beab0db963a9.pdf,https://openreview.net/forum?id=Z7eXOBcxE9,True,neurips2025_papers.json
neurips2025_papers:1947,NEURIPS,2025,Alias-Free ViT: Fractional Shift Invariance via Linear Attention,10,C-Foundation,adversarial_core;classification_context;vision_context,"Transformers have emerged as a competitive alternative to convnets in vision tasks, yet they lack the architectural inductive bias of convnets, which may hinder their potential performance. Specifically, Vision Transformers (ViTs) are not translation‑invariant and are more sensitive to minor image translations than standard convnets. Previous studies have shown, however, that convnets are also not perfectly shift‑invariant, due to aliasing in downsampling and nonlinear layers. Consequently, anti‑aliasing approaches have been proposed to certify convnets translation robustness. Building on this line of work, we propose an Alias‑Free ViT, which combines two main components. First, it uses alias-free downsampling and nonlinearities. Second, it uses linear cross‑covariance attention that is shift‑equivariant to both integer and fractional translations, enabling a shift-invariant global representation. Our model maintains competitive performance in image classification and outperforms similar‑sized models in terms of robustness to adversarial translations.","{""adversarial_core"": [""ation and outperforms similar‑sized models in terms of robustness to adversarial translations. Vision Transformers alias‑free aliasing""], ""vision_context"": [""translation‑invariant and are more sensitive to minor image translations than standard convnets. Previous studies"", ""ve emerged as a competitive alternative to convnets in vision tasks, yet they lack the architectural inductive bias"", ""tion cross‑covariance attention translation robustness ImageNet XCiT"", ""tation. Our model maintains competitive performance in image classification and outperforms similar‑sized models in terms of robus""], ""classification_context"": [""tation. Our model maintains competitive performance in image classification and outperforms similar‑sized models in terms of robus"", ""tion cross‑covariance attention translation robustness ImageNet XCiT""]}",{},https://openreview.net/pdf/925f55288388a80ea7c08817dc8615b52273dfb8.pdf,https://openreview.net/forum?id=R3YQrZYnQa,True,neurips2025_papers.json
neurips2025_papers:4028,NEURIPS,2025,Certifying Deep Network Risks and Individual Predictions with PAC-Bayes Loss via Localized Priors,10,C-Foundation,adversarial_core;classification_context;vision_context,"As machine learning increasingly relies on large, opaque foundation models powering generative and agentic AI, deploying these systems in safety-critical settings demands rigorous guarantees on their generalization beyond training data. PAC-Bayes theory offers principled certificates linking training performance to generalization risk, yet existing approaches are rarely practical: simple theoretical priors yield vacuous bounds, while data-dependent priors trained separately are computationally costly or introduce bias. To bridge this fundamental gap, we propose a localized PAC-Bayes prior—a structured, computationally efficient prior softly concentrated near parameters favored during standard training, enabling effective exploration without costly data splits. By integrating this localized prior directly into standard training loss, we produce practically tight generalization certificates without workflow disruption. Theoretically, under standard neural tangent kernel assumptions, our bound shrinks as networks widen and datasets grow, becoming negligible in practical regimes. Empirically, we certify generalization across image classification, NLP fine-tuning, and semantic segmentation, typically within three percentage points of test errors at ImageNet scale, while providing rigorous guarantees for individual predictions, selective rejection, and robustness.","{""adversarial_core"": [""ization Data-dependent bounds Bayesian neural networks Adversarial robustness Model calibration Trustworthy AI""], ""vision_context"": [""regimes. Empirically, we certify generalization across image classification, NLP fine-tuning, and semantic segmenta"", ""cally within three percentage points of test errors at ImageNet scale, while providing rigorous guarantees for individ"", ""regimes. Empirically, we certify generalization across image classification, NLP fine-tuning, and semantic segmentation, typically""], ""classification_context"": [""regimes. Empirically, we certify generalization across image classification, NLP fine-tuning, and semantic segmentation, typically"", ""cally within three percentage points of test errors at ImageNet scale, while providing rigorous guarantees for individ""]}",{},https://openreview.net/pdf/8e68876776135a21a8c1d64d587cb43d2e7b340f.pdf,https://openreview.net/forum?id=T6d5IYr8PJ,True,neurips2025_papers.json
